date,EWJ,EWY,EXI,IWB,IWD,IWF,IWM,IWN,IWO,IXC,IXG,IXJ,IXN,IXP,JXI,KXI,MCHI,MXI,REET,RSP,RXI,SPY,VEA,VGK,VT,VTI,VWO,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2021-08-30,60.415435791015625,76.54386901855469,114.35688781738281,239.2516326904297,148.2216796875,70.80558776855469,211.8745574951172,148.69715881347656,295.13427734375,20.283187866210938,69.17086791992188,82.53168487548828,58.464996337890625,81.75580596923828,54.46867370605469,55.192100524902344,61.823028564453125,79.93031311035156,24.952491760253906,143.84664916992188,158.35653686523438,422.6679992675781,44.91759490966797,59.25559997558594,96.35857391357422,217.79132080078125,44.153160095214844,38.881282806396484,81.02340698242188,20.311758041381836,35.25762176513672,97.17664337158203,76.90829467773438,63.18133544921875,40.100440979003906,29.5172176361084,124.85265350341797,87.90959167480469
2021-08-31,60.73508071899414,78.07493591308594,114.13463592529297,238.71636962890625,148.1490478515625,70.60653686523438,212.2879638671875,149.01515197753906,295.753662109375,20.16854476928711,69.17086791992188,82.44769287109375,58.22291946411133,82.24923706054688,54.61476516723633,55.209835052490234,63.20700454711914,79.5507583618164,25.00367546081543,143.8190460205078,159.11135864257812,422.0418701171875,44.91759490966797,59.0946044921875,96.4037857055664,217.38113403320312,44.692237854003906,38.76807403564453,81.32735443115234,20.174209594726562,35.211769104003906,96.9077377319336,76.50376892089844,63.321556091308594,40.33731460571289,29.482812881469727,124.6866683959961,88.1207046508789
2021-09-01,61.72069549560547,78.966552734375,114.55135345458984,239.06387329101562,148.1126708984375,70.78617858886719,213.7162628173828,149.65121459960938,298.4052734375,19.98021125793457,69.28369140625,82.7276382446289,58.41657638549805,82.85234832763672,55.11321258544922,55.5023193359375,64.82311248779297,79.37822723388672,25.3022518157959,143.84664916992188,160.53602600097656,422.26617431640625,45.311466217041016,59.50974655151367,96.8740234375,217.76336669921875,45.231327056884766,38.66844177246094,81.73580169677734,19.87825584411621,35.01003646850586,96.53683471679688,76.52305603027344,63.654544830322266,41.03104019165039,29.86994743347168,124.72352600097656,88.11592864990234
2021-09-02,62.00484848022461,77.9938735961914,115.50518798828125,239.84323120117188,149.0392303466797,70.7740249633789,215.200927734375,150.305419921875,300.97943115234375,20.414207458496094,69.43994140625,83.46477508544922,58.39720916748047,82.4320068359375,55.37963104248047,55.6175422668457,64.36775207519531,79.7060317993164,25.396087646484375,144.82200622558594,160.45111083984375,423.5653991699219,45.52552032470703,59.81476593017578,97.17240142822266,218.49986267089844,45.0516357421875,38.917518615722656,81.18486785888672,20.382617950439453,35.12925338745117,97.57534790039062,76.44116973876953,63.89992904663086,41.22562026977539,30.140949249267578,126.06066131591797,88.11113739013672
2021-09-03,63.762962341308594,78.98455810546875,115.6533432006836,239.82444763183594,148.51234436035156,71.03858947753906,214.2048797607422,149.6239471435547,300.06011962890625,20.34869956970215,69.29237365722656,83.60472869873047,58.71674728393555,82.50511169433594,55.181968688964844,55.66185760498047,64.32311248779297,80.13734436035156,25.404621124267578,144.35275268554688,160.5171661376953,423.46246337890625,45.748138427734375,59.60295867919922,97.34423065185547,218.42530822753906,45.256996154785156,38.659385681152344,81.18486785888672,20.265907287597656,34.90917205810547,96.98190307617188,76.74457550048828,63.821048736572266,41.22562026977539,29.891450881958008,126.19898223876953,88.05834197998047
2021-09-07,64.42891693115234,77.84076690673828,114.60692596435547,238.85728454589844,147.27696228027344,71.00462341308594,212.7296142578125,148.8334503173828,297.5633239746094,20.266813278198242,68.97989654541016,83.1568374633789,58.629600524902344,83.05337524414062,54.451473236083984,55.30732727050781,66.01957702636719,79.66290283203125,25.114574432373047,143.1474151611328,161.65878295898438,421.9483642578125,45.636817932128906,59.374210357666016,97.08199310302734,217.48367309570312,45.63350296020508,38.40578842163086,81.37484741210938,20.14502716064453,34.698272705078125,95.30358123779297,76.7638168334961,63.084957122802734,40.768775939941406,29.495712280273438,125.46126556396484,88.31745147705078
2021-09-08,64.1536636352539,76.53487396240234,113.94017028808594,238.42530822753906,147.19520568847656,70.79345703125,210.40866088867188,147.3433074951172,293.57623291015625,20.037532806396484,68.7195053100586,82.69962310791016,58.271324157714844,82.48681640625,55.03586959838867,55.37823486328125,65.0016860961914,78.7140121459961,25.12310218811035,143.05532836914062,160.74359130859375,421.4343566894531,45.30289077758789,58.75571823120117,96.59368896484375,216.97093200683594,44.957515716552734,38.03898620605469,80.95690155029297,19.886598587036133,34.61573791503906,95.43338012695312,76.47006225585938,63.62828063964844,41.014122009277344,30.02480125427246,125.40596008300781,88.4182357788086
2021-09-09,64.721923828125,75.32803344726562,113.78275299072266,237.50509643554688,146.56845092773438,70.52159881591797,210.30528259277344,147.13430786132812,294.2245788574219,19.996591567993164,68.79761505126953,81.8878402709961,58.23259735107422,82.09390258789062,54.83820724487305,55.254146575927734,64.42130279541016,78.70539093017578,24.76481819152832,142.6504669189453,160.7152862548828,419.6305236816406,45.25153350830078,58.577796936035156,96.34049224853516,216.21575927734375,45.01740646362305,38.05257797241211,80.5579833984375,19.92828369140625,34.71660614013672,94.96976470947266,76.18112182617188,63.260223388671875,40.142738342285156,29.861343383789062,123.95812225341797,88.30306243896484
2021-09-10,64.6509017944336,75.30101776123047,113.3104476928711,235.62701416015625,145.45108032226562,69.96820831298828,208.2474365234375,145.61692810058594,291.54400634765625,19.996591567993164,68.42437744140625,81.06672668457031,57.79686737060547,81.32633972167969,54.13350296020508,55.05915069580078,64.18917083740234,78.66226196289062,24.432109832763672,141.7119140625,159.84727478027344,416.3218994140625,45.12309265136719,58.408355712890625,95.85218811035156,214.50033569335938,44.948951721191406,38.04352569580078,80.0355453491211,19.919944763183594,34.45985794067383,94.5432357788086,75.42986297607422,62.98854446411133,39.635128021240234,29.444087982177734,122.82389068603516,87.76085662841797
2021-09-13,65.5388412475586,75.86840057373047,114.07907104492188,236.09652709960938,146.3322296142578,69.84443664550781,209.431396484375,146.95260620117188,291.9310302734375,20.545228958129883,69.10142517089844,80.70281982421875,57.864654541015625,81.50908660888672,54.305381774902344,55.24528503417969,63.93915939331055,79.04181671142578,24.619787216186523,142.10760498046875,160.01712036132812,417.3874206542969,45.46558380126953,58.74724197387695,96.19580078125,214.98513793945312,45.09441375732422,38.034454345703125,80.23502349853516,20.490991592407227,34.85415267944336,94.79359436035156,75.45392608642578,63.14630126953125,39.855098724365234,29.392473220825195,122.06770324707031,87.97676849365234
