Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,ISIN
CP,CANADIAN PACIFIC KANSAS CITY,Industrials,Equity,26387984.68,0.08,"26,387,984.68",281044.0,93.89,Canada,Toronto Stock Exchange,USD,1.39,CAD,-,
BN,BROOKFIELD CLASS A,Financials,Equity,26283014.25,0.08,"26,283,014.25",634330.0,41.43,Canada,Toronto Stock Exchange,USD,1.39,CAD,-,
WBC,WESTPAC BANKING CORPORATION,Financials,Equity,26275467.51,0.08,"26,275,467.51",1084823.0,24.22,Australia,Asx - All Markets,USD,1.39,AUD,-,
SLB,SLB,Energy,Equity,26207479.13,0.08,"26,207,479.13",476413.0,55.01,United States,NYSE,USD,1.00,USD,-,
MSI,MOTOROLA SOLUTIONS INC,Information Technology,Equity,26097032.52,0.08,"26,097,032.52",53638.0,486.54,United States,NYSE,USD,1.00,USD,-,
CS,AXA SA,Financials,Equity,25946322.69,0.08,"25,946,322.69",519086.0,49.98,France,Nyse Euronext - Euronext Paris,USD,0.86,EUR,-,
AMT,AMERICAN TOWER REIT,Real Estate,Equity,25863630.8,0.08,"25,863,630.80",148505.0,174.16,United States,NYSE,USD,1.00,USD,-,
SHW,SHERWIN WILLIAMS,Materials,Equity,25626664.35,0.08,"25,626,664.35",74235.0,345.21,United States,NYSE,USD,1.00,USD,-,
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Equity,25573263.33,0.08,"25,573,263.33",409631.0,62.43,United States,NASDAQ,USD,1.00,USD,-,
7011,MITSUBISHI HEAVY INDUSTRIES,Industrials,Equity,25552824.5,0.08,"25,552,824.50",1021600.0,25.01,Japan,Tokyo Stock Exchange,USD,159.32,JPY,-,
TRV,TRAVELERS COMPANIES,Financials,Equity,25530674.91,0.08,"25,530,674.91",69127.0,369.33,United States,NYSE,USD,1.00,USD,-,
RELIANCE,RELIANCE INDUSTRIES LTD,Energy,Equity,25186684.18,0.08,"25,186,684.18",1876847.0,13.42,India,National Stock Exchange Of India,USD,95.55,INR,-,
CMI,CUMMINS INC,Industrials,Equity,25137227.61,0.08,"25,137,227.61",43803.0,573.87,United States,NYSE,USD,1.00,USD,-,
GM,GENERAL MOTORS,Consumer Discretionary,Equity,25135862.06,0.08,"25,135,862.06",291667.0,86.18,United States,NYSE,USD,1.00,USD,-,
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Equity,25070783.44,0.08,"25,070,783.44",237233.0,105.68,United States,NYSE,USD,1.00,USD,-,
