Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,ISIN
DOC,HEALTHPEAK PROPERTIES INC,Real Estate,Equity,195071767.72,0.02,"195,071,767.72",9192826.0,21.22,United States,NYSE,USD,1.0,USD,-,
AIZ,ASSURANT INC,Financials,Equity,193861317.58,0.02,"193,861,317.58",679238.0,285.41,United States,NYSE,USD,1.0,USD,-,
RVTY,REVVITY,Health Care,Equity,192959838.75,0.02,"192,959,838.75",1487625.0,129.71,United States,NYSE,USD,1.0,USD,-,
FDXF,FEDEX FREIGHT HOLDING COMPANY INC,Industrials,Equity,192822877.0,0.02,"192,822,877.00",1447076.0,133.25,United States,NYSE,USD,1.0,USD,-,
TRMB,TRIMBLE INC,Information Technology,Equity,191303244.0,0.02,"191,303,244.00",3108600.0,61.54,United States,NASDAQ,USD,1.0,USD,-,
TXT,TEXTRON INC,Industrials,Equity,190934568.9,0.02,"190,934,568.90",2318574.0,82.35,United States,NYSE,USD,1.0,USD,-,
CRL,CHARLES RIVER LABORATORIES INTERNA,Health Care,Equity,190374954.29,0.02,"190,374,954.29",642269.0,296.41,United States,NYSE,USD,1.0,USD,-,
HST,HOST HOTELS & RESORTS REIT,Real Estate,Equity,189727521.18,0.02,"189,727,521.18",8492727.0,22.34,United States,NASDAQ,USD,1.0,USD,-,
SJM,JM SMUCKER,Consumer Staples,Equity,187481885.44,0.02,"187,481,885.44",1422041.0,131.84,United States,NYSE,USD,1.0,USD,-,
MKC,MCCORMICK & CO NON-VOTING,Consumer Staples,Equity,185063491.8,0.02,"185,063,491.80",3393170.0,54.54,United States,NYSE,USD,1.0,USD,-,
COO,COOPER,Health Care,Equity,184593924.8,0.02,"184,593,924.80",2601380.0,70.96,United States,NASDAQ,USD,1.0,USD,-,
ALLE,ALLEGION PLC,Industrials,Equity,183022029.96,0.02,"183,022,029.96",1145893.0,159.72,United States,NYSE,USD,1.0,USD,-,
GL,GLOBE LIFE,Financials,Equity,181972905.18,0.02,"181,972,905.18",1035231.0,175.78,United States,NYSE,USD,1.0,USD,-,
AVY,AVERY DENNISON CORP,Materials,Equity,181840635.86,0.02,"181,840,635.86",1019629.0,178.34,United States,NYSE,USD,1.0,USD,-,
RL,RALPH LAUREN CLASS A,Consumer Discretionary,Equity,181276358.4,0.02,"181,276,358.40",515136.0,351.9,United States,NYSE,USD,1.0,USD,-,
FOXA,FOX CLASS A,Communication,Equity,178797940.24,0.02,"178,797,940.24",2659892.0,67.22,United States,NASDAQ,USD,1.0,USD,-,
BAX,BAXTER INTERNATIONAL,Health Care,Equity,178550323.87,0.02,"178,550,323.87",6885859.0,25.93,United States,NYSE,USD,1.0,USD,-,
SOLV,SOLVENTUM,Health Care,Equity,178495862.79,0.02,"178,495,862.79",1963003.0,90.93,United States,NYSE,USD,1.0,USD,-,
LVS,LAS VEGAS SANDS,Consumer Discretionary,Equity,175880676.72,0.02,"175,880,676.72",3975603.0,44.24,United States,NYSE,USD,1.0,USD,-,
