date,ticker,adj_close
2021-08-30,EWJ,60.415428161621094
2021-08-30,EXI,114.35688781738281
2021-08-30,IWB,239.2516632080078
2021-08-30,IWD,148.22166442871094
2021-08-30,IWF,70.80557250976562
2021-08-30,IWM,211.87451171875
2021-08-30,IWN,148.6971435546875
2021-08-30,IWO,295.1343078613281
2021-08-30,IXC,20.283191680908203
2021-08-30,IXG,69.17085266113281
2021-08-30,IXJ,82.53166961669922
2021-08-30,IXN,58.46499252319336
2021-08-30,IXP,81.75581359863281
2021-08-30,JXI,54.46866989135742
2021-08-30,KXI,55.192100524902344
2021-08-30,MCHI,61.82303237915039
2021-08-30,MXI,79.9303207397461
2021-08-30,REET,24.95248794555664
2021-08-30,RSP,143.84664916992188
2021-08-30,RXI,158.35655212402344
2021-08-30,SPY,422.6680603027344
2021-08-30,VEA,44.91759490966797
2021-08-30,VGK,59.255592346191406
2021-08-30,VT,96.35856628417969
2021-08-30,VTI,217.79135131835938
2021-08-30,VWO,44.15316390991211
2021-08-30,XLB,38.88128662109375
2021-08-30,XLC,81.02342224121094
2021-08-30,XLE,20.311756134033203
2021-08-30,XLF,35.25762176513672
2021-08-30,XLI,97.17665100097656
2021-08-30,XLK,76.90830993652344
2021-08-30,XLP,63.181358337402344
2021-08-30,XLRE,40.100440979003906
2021-08-30,XLU,29.517213821411133
2021-08-30,XLV,124.85262298583984
2021-08-30,XLY,87.90960693359375
2021-08-31,EWJ,60.73508834838867
2021-08-31,EXI,114.13463592529297
2021-08-31,IWB,238.7163848876953
2021-08-31,IWD,148.14903259277344
2021-08-31,IWF,70.60655975341797
2021-08-31,IWM,212.2879638671875
2021-08-31,IWN,149.01519775390625
2021-08-31,IWO,295.7535705566406
2021-08-31,IXC,20.168546676635742
2021-08-31,IXG,69.17085266113281
2021-08-31,IXJ,82.44769287109375
2021-08-31,IXN,58.22291946411133
2021-08-31,IXP,82.24925231933594
2021-08-31,JXI,54.61476135253906
2021-08-31,KXI,55.209835052490234
2021-08-31,MCHI,63.207000732421875
2021-08-31,MXI,79.5507583618164
2021-08-31,REET,25.003673553466797
2021-08-31,RSP,143.81906127929688
2021-08-31,RXI,159.111328125
2021-08-31,SPY,422.0419006347656
2021-08-31,VEA,44.91759490966797
2021-08-31,VGK,59.09461975097656
2021-08-31,VT,96.40380096435547
2021-08-31,VTI,217.38111877441406
2021-08-31,VWO,44.69224548339844
2021-08-31,XLB,38.7680778503418
2021-08-31,XLC,81.3273696899414
2021-08-31,XLE,20.17420768737793
2021-08-31,XLF,35.2117805480957
2021-08-31,XLI,96.90772247314453
2021-08-31,XLK,76.50377655029297
2021-08-31,XLP,63.321571350097656
2021-08-31,XLRE,40.33732604980469
2021-08-31,XLU,29.482803344726562
2021-08-31,XLV,124.68667602539062
2021-08-31,XLY,88.1207046508789
2021-09-01,EWJ,61.72071075439453
2021-09-01,EXI,114.55135345458984
2021-09-01,IWB,239.06385803222656
2021-09-01,IWD,148.11270141601562
2021-09-01,IWF,70.78617858886719
2021-09-01,IWM,213.7162628173828
2021-09-01,IWN,149.6512451171875
2021-09-01,IWO,298.4053039550781
2021-09-01,IXC,19.98021125793457
2021-09-01,IXG,69.28369903564453
2021-09-01,IXJ,82.72761535644531
2021-09-01,IXN,58.41657638549805
2021-09-01,IXP,82.85234069824219
2021-09-01,JXI,55.11321258544922
2021-09-01,KXI,55.502323150634766
2021-09-01,MCHI,64.82311248779297
2021-09-01,MXI,79.37822723388672
2021-09-01,REET,25.302249908447266
2021-09-01,RSP,143.84664916992188
2021-09-01,RXI,160.53604125976562
2021-09-01,SPY,422.2661437988281
2021-09-01,VEA,45.31147003173828
2021-09-01,VGK,59.509765625
2021-09-01,VT,96.87400817871094
2021-09-01,VTI,217.76336669921875
2021-09-01,VWO,45.231327056884766
2021-09-01,XLB,38.6684455871582
2021-09-01,XLC,81.73580932617188
2021-09-01,XLE,19.878259658813477
2021-09-01,XLF,35.01003646850586
2021-09-01,XLI,96.53682708740234
2021-09-01,XLK,76.52302551269531
2021-09-01,XLP,63.65455627441406
2021-09-01,XLRE,41.03104019165039
2021-09-01,XLU,29.869945526123047
2021-09-01,XLV,124.7235336303711
2021-09-01,XLY,88.11591339111328
