date,ticker,sector,benchmark,excess_21,freq_21,magnitude_21,excess_63,freq_63,magnitude_63,excess_126,freq_126,magnitude_126,rank_21,rank_63,rank_126
2026-02-17,IXN,technology,VT,-0.022242493080312675,0.5714285714285714,-0.0009594178072959993,-0.04038257374691301,0.5396825396825397,-0.0005529179399909434,-0.008617041855232266,0.5396825396825397,-1.1225285927407922e-06,10.0,10.0,8.0
2026-02-17,IXG,financials,VT,-0.018170924965636548,0.38095238095238093,-0.0008550495228595935,-0.012561725687775915,0.4603174603174603,-0.00017990555781596763,-0.04214098936316102,0.4603174603174603,-0.00030304334856975527,9.0,8.0,9.0
2026-02-17,EXI,industrials,VT,0.04341680044411644,0.6666666666666666,0.0020328544322144805,0.09082286927668015,0.6031746031746031,0.0013263537763025634,0.06005713014881353,0.5317460317460317,0.00042935460143385244,6.0,3.0,4.0
2026-02-17,IXC,energy,VT,0.11493431800442777,0.6190476190476191,0.005208194483954434,0.11621431314108244,0.5396825396825397,0.0017125308566325616,0.1476828100499683,0.5158730158730159,0.0010315054038000546,1.0,2.0,2.0
2026-02-17,MXI,materials,VT,0.05384443952370721,0.6666666666666666,0.002591319943610895,0.15781400892302266,0.6666666666666666,0.002266759543381348,0.15720435241391195,0.6111111111111112,0.001088056450389236,4.0,1.0,1.0
2026-02-17,RXI,consumer_discretionary,VT,-0.03783062023715522,0.3333333333333333,-0.0018136468137600773,-0.04621436494695308,0.36507936507936506,-0.0006957213433964604,-0.05545197661761225,0.4126984126984127,-0.0003921645295692931,11.0,11.0,10.0
2026-02-17,KXI,consumer_staples,VT,0.07648003362172773,0.5238095238095238,0.003473116222676701,0.07729740514103423,0.5396825396825397,0.0011178630622567546,0.0028054689809160482,0.4603174603174603,1.7460240337910955e-05,2.0,4.0,7.0
2026-02-17,IXJ,health_care,VT,0.010678695674194438,0.5714285714285714,0.0005001684107772897,-0.0005599437514938188,0.49206349206349204,2.0158326922324587e-06,0.06029133017861943,0.49206349206349204,0.00043097324733782337,7.0,7.0,3.0
2026-02-17,JXI,utilities,VT,0.0754866400236387,0.7142857142857143,0.003433724848251631,0.03159092495511007,0.5714285714285714,0.00046899282472769407,0.046817726677829574,0.5396825396825397,0.0003261209159039147,3.0,6.0,5.0
2026-02-17,REET,real_estate,VT,0.05382338267118136,0.6190476190476191,0.002467636644572951,0.03878097744644804,0.5079365079365079,0.000563550805603115,0.011936044921171618,0.4603174603174603,8.310086518894427e-05,5.0,5.0,6.0
2026-02-17,IXP,communication_services,VT,-0.010548654146934733,0.5238095238095238,-0.0004786783609216731,-0.03083163748600226,0.5079365079365079,-0.0004569278883085813,-0.07355155361794652,0.49206349206349204,-0.0005298318927537537,8.0,9.0,11.0
2026-02-18,IXN,technology,VT,-0.017053355141873006,0.5714285714285714,-0.0007037250676028139,-0.04260467077717678,0.5396825396825397,-0.0005838254999444015,-0.005270666505512445,0.5396825396825397,2.3435773158030764e-05,9.0,10.0,7.0
2026-02-18,IXG,financials,VT,-0.01960022948554596,0.38095238095238093,-0.0009191812307959184,-0.006959483845569547,0.47619047619047616,-9.48257800004041e-05,-0.03831617313746882,0.46825396825396826,-0.0002734464440023419,10.0,8.0,9.0
2026-02-18,EXI,industrials,VT,0.034724695240171854,0.6190476190476191,0.0016290187856045977,0.08970558752589075,0.6031746031746031,0.001304244135965842,0.05532849542215623,0.5238095238095238,0.00039545718451960537,5.0,3.0,3.0
2026-02-18,IXC,energy,VT,0.1254671960900824,0.6190476190476191,0.0056333266216147745,0.11575296347698227,0.5396825396825397,0.001699002009162703,0.17524591025887593,0.5238095238095238,0.0011999257070226391,1.0,2.0,1.0
2026-02-18,MXI,materials,VT,0.06703124407604388,0.7142857142857143,0.0031632949686199742,0.17048032828867932,0.6825396825396826,0.0024196877946615915,0.1707994276432736,0.6190476190476191,0.0011682147318292735,2.0,1.0,2.0
2026-02-18,RXI,consumer_discretionary,VT,-0.03121996748442246,0.3333333333333333,-0.0014849503497993252,-0.04375526166965571,0.36507936507936506,-0.0006538050508559071,-0.059767637842841115,0.40476190476190477,-0.00042283068986177634,11.0,11.0,10.0
2026-02-18,KXI,consumer_staples,VT,0.06563619169237,0.5238095238095238,0.002981414388971825,0.06595938524970046,0.5396825396825397,0.0009538950732871753,-0.009744953094923181,0.4603174603174603,-7.221054721035311e-05,3.0,4.0,8.0
2026-02-18,IXJ,health_care,VT,0.006584799925759777,0.5714285714285714,0.00030647005059137287,-0.002037885436498632,0.49206349206349204,-2.0465867661360242e-05,0.05331198900199352,0.49206349206349204,0.00038181036999866843,7.0,7.0,4.0
2026-02-18,JXI,utilities,VT,0.05449781541536991,0.6666666666666666,0.002495437515297413,0.011235510050123576,0.5555555555555556,0.00017029103810667267,0.03126704649651901,0.5396825396825397,0.00021828573252861332,4.0,6.0,5.0
2026-02-18,REET,real_estate,VT,0.025060932852346784,0.5714285714285714,0.001157161035459497,0.0195227713366819,0.5079365079365079,0.0002821520313066559,0.0011726683679900152,0.4603174603174603,6.8504106134797696e-06,6.0,5.0,6.0
2026-02-18,IXP,communication_services,VT,-0.009831782047470039,0.5238095238095238,-0.0004436501801644936,-0.030643324422588103,0.5079365079365079,-0.00045200325389724955,-0.07501432554156784,0.49206349206349204,-0.0005386755476453338,8.0,9.0,11.0
2026-02-19,IXN,technology,VT,-0.00665091402912199,0.5714285714285714,-0.00021892001254942257,-0.04016774348375063,0.5396825396825397,-0.0005415291035369322,0.008199657352856216,0.5396825396825397,0.00011783337479077178,8.0,9.0,6.0
2026-02-19,IXG,financials,VT,-0.019926663536924183,0.38095238095238093,-0.0009210238283464097,0.0013856018349784893,0.47619047619047616,2.7765665872308493e-05,-0.04298622704336541,0.4603174603174603,-0.0003071331956096977,10.0,6.0,9.0
