as_of,ticker,sector,benchmark,return_21,excess_21,freq_21,magnitude_21,return_63,excess_63,freq_63,magnitude_63,return_126,excess_126,freq_126,magnitude_126,rank_21,rank_63,rank_126,rank_change_21_vs_63,trend_label
2026-09-18,EWY,south_korea,VT,0.03944278605572471,0.05282171534827995,0.5238095238095238,0.0028275031801431264,-0.1728558390381506,-0.17850089402340774,0.5079365079365079,-0.0022672401505254565,0.3448300527278165,0.20189567728199087,0.5317460317460317,0.002214712854228944,1,7,1,6,NEUTRAL
2026-09-18,EWJ,japan,VT,0.023422676190074432,0.03680160548262967,0.6190476190476191,0.0017648645306374898,0.0076874906227639705,0.002042435637506834,0.5555555555555556,9.296392694278414e-05,0.15993132000970722,0.016996944563881566,0.5396825396825397,0.00017445485898742025,2,2,3,0,LEADER
2026-09-18,VWO,emerging_markets,VT,-0.0004997100855537173,0.012879219207001524,0.5714285714285714,0.0006240289589455381,-0.01250620586647333,-0.018151260851730466,0.4603174603174603,-0.00027098440873063456,0.1124110513739971,-0.03052332407182856,0.4603174603174603,-0.0001856511188890909,3,5,5,2,NEUTRAL
2026-09-18,VTI,us,VT,-0.012000309681265864,0.0013786196112893778,0.42857142857142855,6.522364021498999e-05,0.017621970018008914,0.011976915032751778,0.47619047619047616,0.0001831014418805272,0.16055044140593333,0.017616065960107674,0.5079365079365079,0.00011117371249729718,4,1,2,-3,WEAKENING
2026-09-18,VEA,developed_ex_us,VT,-0.019909440356740915,-0.006530511064185673,0.5714285714285714,-0.0003019351940758049,-0.012861296315522464,-0.0185063513007796,0.5079365079365079,-0.0002729878237528989,0.12029029611973985,-0.02264407932608581,0.46825396825396826,-0.00012492040987912813,5,6,4,1,NEUTRAL
2026-09-18,MCHI,china,VT,-0.041884811705879765,-0.028505882413324524,0.3333333333333333,-0.0013822862663369735,0.005685033815769236,3.9978830512099606e-05,0.49206349206349204,2.3269462306977897e-05,-0.05964222828309451,-0.20257660372892017,0.42063492063492064,-0.001524035300387604,6,3,7,-3,WEAKENING
2026-09-18,VGK,europe,VT,-0.043586730197800905,-0.030207800905245663,0.38095238095238093,-0.0014762727212835204,-0.0006797050059530463,-0.006324759991210183,0.4603174603174603,-9.998263946530721e-05,0.09508433633605873,-0.04785003910976693,0.4444444444444444,-0.0003247479070365508,7,4,6,-3,WEAKENING
