date,metric_code,metric,group,value,unit,source_series
2003-01-01,chargeoff,Business Loan Charge-off Rate,신용손실,1.65,%,CORBLACBS
2003-01-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,4982694.0,$mn SAAR,BCNSDODNS
2003-01-01,delinquency,Business Loan Delinquency Rate,신용손실,3.65,%,DRBLACBS
2003-01-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,22.0,%,DRTSCILM
2003-02-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,10.4,% annualized,H8B1020NCBCMG
2003-03-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,6.5,% annualized,H8B1020NCBCMG
2003-04-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,10.3,% annualized,H8B1020NCBCMG
2003-04-01,chargeoff,Business Loan Charge-off Rate,신용손실,1.41,%,CORBLACBS
2003-04-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,4986319.0,$mn SAAR,BCNSDODNS
2003-04-01,delinquency,Business Loan Delinquency Rate,신용손실,3.56,%,DRBLACBS
2003-04-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,8.9,%,DRTSCILM
2003-05-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,9.4,% annualized,H8B1020NCBCMG
2003-06-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,5.6,% annualized,H8B1020NCBCMG
2003-07-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,6.2,% annualized,H8B1020NCBCMG
2003-07-01,chargeoff,Business Loan Charge-off Rate,신용손실,1.29,%,CORBLACBS
2003-07-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,5027031.0,$mn SAAR,BCNSDODNS
2003-07-01,delinquency,Business Loan Delinquency Rate,신용손실,3.27,%,DRBLACBS
2003-07-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,3.4,%,DRTSCILM
2003-08-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,12.3,% annualized,H8B1020NCBCMG
2003-09-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,0.4,% annualized,H8B1020NCBCMG
2003-10-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,-15.7,% annualized,H8B1020NCBCMG
2003-10-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.83,%,CORBLACBS
2003-10-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,5022043.0,$mn SAAR,BCNSDODNS
2003-10-01,delinquency,Business Loan Delinquency Rate,신용손실,2.85,%,DRBLACBS
2003-10-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,0.0,%,DRTSCILM
2003-11-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,-7.8,% annualized,H8B1020NCBCMG
2003-12-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,-1.9,% annualized,H8B1020NCBCMG
2004-01-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,1.9,% annualized,H8B1020NCBCMG
2004-01-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.8,%,CORBLACBS
2004-01-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,5096747.0,$mn SAAR,BCNSDODNS
2004-01-01,delinquency,Business Loan Delinquency Rate,신용손실,2.57,%,DRBLACBS
2004-01-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,-17.9,%,DRTSCILM
2004-02-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,10.2,% annualized,H8B1020NCBCMG
2004-03-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,13.5,% annualized,H8B1020NCBCMG
2004-04-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,12.9,% annualized,H8B1020NCBCMG
2004-04-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.58,%,CORBLACBS
2004-04-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,5110462.0,$mn SAAR,BCNSDODNS
2004-04-01,delinquency,Business Loan Delinquency Rate,신용손실,2.3,%,DRBLACBS
