date,metric_code,metric,group,value,unit,source_series
2012-10-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,1.1,% annualized,H8B1020NCBCMG
2012-10-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.35,%,CORBLACBS
2012-10-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,7193984.0,$mn SAAR,BCNSDODNS
2012-10-01,delinquency,Business Loan Delinquency Rate,신용손실,1.18,%,DRBLACBS
2012-10-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,-7.6,%,DRTSCILM
2012-11-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,-0.1,% annualized,H8B1020NCBCMG
2012-12-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,3.1,% annualized,H8B1020NCBCMG
2013-01-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,5.7,% annualized,H8B1020NCBCMG
2013-01-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.36,%,CORBLACBS
2013-01-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,7261926.0,$mn SAAR,BCNSDODNS
2013-01-01,delinquency,Business Loan Delinquency Rate,신용손실,1.11,%,DRBLACBS
2013-01-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,-7.4,%,DRTSCILM
2013-02-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,3.0,% annualized,H8B1020NCBCMG
2013-03-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,-0.4,% annualized,H8B1020NCBCMG
2013-04-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,4.5,% annualized,H8B1020NCBCMG
2013-04-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.31,%,CORBLACBS
2013-04-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,7403829.0,$mn SAAR,BCNSDODNS
2013-04-01,delinquency,Business Loan Delinquency Rate,신용손실,1.04,%,DRBLACBS
2013-04-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,-19.1,%,DRTSCILM
2013-05-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,1.5,% annualized,H8B1020NCBCMG
2013-06-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,3.9,% annualized,H8B1020NCBCMG
2013-07-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,1.8,% annualized,H8B1020NCBCMG
2013-07-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.27,%,CORBLACBS
2013-07-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,7580001.0,$mn SAAR,BCNSDODNS
2013-07-01,delinquency,Business Loan Delinquency Rate,신용손실,0.98,%,DRBLACBS
2013-07-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,-18.1,%,DRTSCILM
2013-08-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,-0.3,% annualized,H8B1020NCBCMG
2013-09-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,3.7,% annualized,H8B1020NCBCMG
2013-10-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,4.2,% annualized,H8B1020NCBCMG
2013-10-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.25,%,CORBLACBS
2013-10-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,7687311.0,$mn SAAR,BCNSDODNS
2013-10-01,delinquency,Business Loan Delinquency Rate,신용손실,0.89,%,DRBLACBS
2013-10-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,-8.3,%,DRTSCILM
2013-11-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,5.0,% annualized,H8B1020NCBCMG
2013-12-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,4.7,% annualized,H8B1020NCBCMG
2014-01-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,4.1,% annualized,H8B1020NCBCMG
2014-01-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.23,%,CORBLACBS
2014-01-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,7811130.0,$mn SAAR,BCNSDODNS
2014-01-01,delinquency,Business Loan Delinquency Rate,신용손실,0.9,%,DRBLACBS
2014-01-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,-13.7,%,DRTSCILM
2014-02-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,9.9,% annualized,H8B1020NCBCMG
2014-03-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,6.1,% annualized,H8B1020NCBCMG
2014-04-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,6.4,% annualized,H8B1020NCBCMG
2014-04-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.21,%,CORBLACBS
2014-04-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,7927756.0,$mn SAAR,BCNSDODNS
2014-04-01,delinquency,Business Loan Delinquency Rate,신용손실,0.8,%,DRBLACBS
2014-04-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,-11.1,%,DRTSCILM
2014-05-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,6.6,% annualized,H8B1020NCBCMG
2014-06-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,7.9,% annualized,H8B1020NCBCMG
2014-07-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,6.0,% annualized,H8B1020NCBCMG
2014-07-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.2,%,CORBLACBS
2014-07-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,8057849.0,$mn SAAR,BCNSDODNS
2014-07-01,delinquency,Business Loan Delinquency Rate,신용손실,0.77,%,DRBLACBS
2014-07-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,-10.7,%,DRTSCILM
2014-08-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,7.8,% annualized,H8B1020NCBCMG
2014-09-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,4.5,% annualized,H8B1020NCBCMG
2014-10-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,2.5,% annualized,H8B1020NCBCMG
2014-10-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.23,%,CORBLACBS
2014-10-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,8235111.0,$mn SAAR,BCNSDODNS
2014-10-01,delinquency,Business Loan Delinquency Rate,신용손실,0.72,%,DRBLACBS
2014-10-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,-10.5,%,DRTSCILM
2014-11-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,7.7,% annualized,H8B1020NCBCMG
2014-12-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,8.4,% annualized,H8B1020NCBCMG
2015-01-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,17.2,% annualized,H8B1020NCBCMG
2015-01-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.17,%,CORBLACBS
2015-01-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,8410997.0,$mn SAAR,BCNSDODNS
2015-01-01,delinquency,Business Loan Delinquency Rate,신용손실,0.75,%,DRBLACBS
2015-01-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,-5.5,%,DRTSCILM
2015-02-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,6.7,% annualized,H8B1020NCBCMG
2015-03-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,9.8,% annualized,H8B1020NCBCMG
2015-04-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,7.2,% annualized,H8B1020NCBCMG
2015-04-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.21,%,CORBLACBS
2015-04-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,8632138.0,$mn SAAR,BCNSDODNS
2015-04-01,delinquency,Business Loan Delinquency Rate,신용손실,0.81,%,DRBLACBS
2015-04-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,-5.3,%,DRTSCILM
2015-05-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,6.2,% annualized,H8B1020NCBCMG
2015-06-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,7.9,% annualized,H8B1020NCBCMG
2015-07-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,4.9,% annualized,H8B1020NCBCMG
2015-07-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.25,%,CORBLACBS
2015-07-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,8763607.0,$mn SAAR,BCNSDODNS
2015-07-01,delinquency,Business Loan Delinquency Rate,신용손실,0.9,%,DRBLACBS
2015-07-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,-7.0,%,DRTSCILM
2015-08-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,7.9,% annualized,H8B1020NCBCMG
2015-09-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,8.1,% annualized,H8B1020NCBCMG
2015-10-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,8.0,% annualized,H8B1020NCBCMG
2015-10-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.32,%,CORBLACBS
2015-10-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,8870864.0,$mn SAAR,BCNSDODNS
2015-10-01,delinquency,Business Loan Delinquency Rate,신용손실,1.02,%,DRBLACBS
2015-10-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,7.4,%,DRTSCILM
2015-11-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,5.9,% annualized,H8B1020NCBCMG
2015-12-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,9.0,% annualized,H8B1020NCBCMG
2016-01-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,8.2,% annualized,H8B1020NCBCMG
2016-01-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.44,%,CORBLACBS
2016-01-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,9066083.0,$mn SAAR,BCNSDODNS
2016-01-01,delinquency,Business Loan Delinquency Rate,신용손실,1.5,%,DRBLACBS
2016-01-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,8.2,%,DRTSCILM
2016-02-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,7.5,% annualized,H8B1020NCBCMG
2016-03-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,5.7,% annualized,H8B1020NCBCMG
2016-04-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,7.3,% annualized,H8B1020NCBCMG
2016-04-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.43,%,CORBLACBS
2016-04-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,9119919.0,$mn SAAR,BCNSDODNS
2016-04-01,delinquency,Business Loan Delinquency Rate,신용손실,1.6,%,DRBLACBS
2016-04-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,11.6,%,DRTSCILM
2016-05-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,7.5,% annualized,H8B1020NCBCMG
2016-06-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,5.9,% annualized,H8B1020NCBCMG
2016-07-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,5.5,% annualized,H8B1020NCBCMG
2016-07-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.45,%,CORBLACBS
2016-07-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,9208703.0,$mn SAAR,BCNSDODNS
2016-07-01,delinquency,Business Loan Delinquency Rate,신용손실,1.59,%,DRBLACBS
2016-07-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,8.5,%,DRTSCILM
2016-08-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,3.5,% annualized,H8B1020NCBCMG
2016-09-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,6.3,% annualized,H8B1020NCBCMG
2016-10-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,6.4,% annualized,H8B1020NCBCMG
2016-10-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.41,%,CORBLACBS
2016-10-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,9170176.0,$mn SAAR,BCNSDODNS
2016-10-01,delinquency,Business Loan Delinquency Rate,신용손실,1.58,%,DRBLACBS
2016-10-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,1.5,%,DRTSCILM
2016-11-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,3.2,% annualized,H8B1020NCBCMG
2016-12-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,0.3,% annualized,H8B1020NCBCMG
2017-01-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,3.1,% annualized,H8B1020NCBCMG
2017-01-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.34,%,CORBLACBS
2017-01-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,9344660.0,$mn SAAR,BCNSDODNS
2017-01-01,delinquency,Business Loan Delinquency Rate,신용손실,1.53,%,DRBLACBS
2017-01-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,1.4,%,DRTSCILM
2017-02-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,2.6,% annualized,H8B1020NCBCMG
2017-03-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,0.5,% annualized,H8B1020NCBCMG
2017-04-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,4.5,% annualized,H8B1020NCBCMG
2017-04-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.37,%,CORBLACBS
2017-04-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,9492492.0,$mn SAAR,BCNSDODNS
2017-04-01,delinquency,Business Loan Delinquency Rate,신용손실,1.35,%,DRBLACBS
2017-04-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,-2.8,%,DRTSCILM
2017-05-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,4.7,% annualized,H8B1020NCBCMG
2017-06-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,2.0,% annualized,H8B1020NCBCMG
2017-07-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,5.6,% annualized,H8B1020NCBCMG
2017-07-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.34,%,CORBLACBS
2017-07-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,9593440.0,$mn SAAR,BCNSDODNS
2017-07-01,delinquency,Business Loan Delinquency Rate,신용손실,1.27,%,DRBLACBS
2017-07-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,-3.9,%,DRTSCILM
2017-08-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,4.3,% annualized,H8B1020NCBCMG
2017-09-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,5.3,% annualized,H8B1020NCBCMG
2017-10-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,4.6,% annualized,H8B1020NCBCMG
2017-10-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.36,%,CORBLACBS
2017-10-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,9766226.0,$mn SAAR,BCNSDODNS
2017-10-01,delinquency,Business Loan Delinquency Rate,신용손실,1.18,%,DRBLACBS
2017-10-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,-8.5,%,DRTSCILM
2017-11-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,3.7,% annualized,H8B1020NCBCMG
2017-12-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,3.1,% annualized,H8B1020NCBCMG
