as_of,universe,sector,sector_ko,n_sample,n_valid_12m,sector_weight_pct,valid_weight_pct,coverage_of_sector_weight,median_change_3m,weighted_change_3m,pct_increasing_3m,pct_decreasing_3m,net_breadth_3m,median_change_6m,weighted_change_6m,pct_increasing_6m,pct_decreasing_6m,net_breadth_6m,median_change_12m,weighted_change_12m,pct_increasing_12m,pct_decreasing_12m,net_breadth_12m,signal
2026-08-30,EX_US,Communication,커뮤니케이션,10,8,1.57,0.7200000000000001,0.4585987261146497,5.870641451499736e-05,-0.0023963502423267015,0.125,0.25,-0.125,-0.00658426623128594,-0.007187980371974011,0.1111111111111111,0.3333333333333333,-0.2222222222222222,-0.014102735210964445,-0.013061651939742238,0.125,0.5,-0.375,완만한 공급 감소
2026-08-30,EX_US,Consumer Discretionary,경기소비재,10,9,2.8100000000000005,0.9800000000000001,0.3487544483985765,-0.00036653738599246033,-0.007858333259313142,0.1,0.2,-0.1,-0.0009626594760299145,-0.011239837802478607,0.1111111111111111,0.3333333333333333,-0.2222222222222222,-0.008179100669789996,-0.013899536373919413,0.1111111111111111,0.3333333333333333,-0.2222222222222222,완만한 공급 감소
2026-08-30,EX_US,Consumer Staples,필수소비재,10,9,1.7200000000000004,0.6200000000000001,0.36046511627906974,-0.0032186600220795447,-0.002705500012875585,0.1,0.2,-0.1,-0.007954045079952177,-0.007534796997919582,0.1,0.4,-0.30000000000000004,-0.018729358635241722,-0.01669533230072977,0.1111111111111111,0.6666666666666666,-0.5555555555555556,완만한 공급 감소
2026-08-30,EX_US,Energy,에너지,10,6,1.6600000000000001,0.6900000000000001,0.41566265060240964,7.38962224744455e-11,-0.005782409099872897,0.0,0.2222222222222222,-0.2222222222222222,0.00028897320057375,-0.010853666034056048,0.1111111111111111,0.4444444444444444,-0.3333333333333333,-0.007423324111985985,-0.023519164968293392,0.0,0.5,-0.5,공급 감소
2026-08-30,EX_US,Financials,금융,10,9,8.780000000000003,1.88,0.2141230068337129,-0.0033068829157237856,-0.003449305401160587,0.0,0.2,-0.2,-0.007404886141020306,-0.00508467539923678,0.1,0.4,-0.30000000000000004,-0.012347265644573668,-0.01490319632086728,0.1111111111111111,0.7777777777777778,-0.6666666666666667,완만한 공급 감소
2026-08-30,EX_US,Health Care,헬스케어,10,6,2.4700000000000006,0.76,0.3076923076923076,2.4347323515305774e-05,-0.000573725949971315,0.1111111111111111,0.1111111111111111,0.0,-0.0035340936982485305,-0.00640330482359571,0.25,0.25,0.0,-0.001632087851425712,-0.03310192718110845,0.3333333333333333,0.16666666666666666,0.16666666666666666,완만한 공급 감소
2026-08-30,EX_US,Industrials,산업재,10,7,5.12,1.1,0.21484375,-0.0025727402267990973,0.0015908771927362997,0.1111111111111111,0.1111111111111111,0.0,-0.0037707303526798297,0.0006890306256589672,0.1111111111111111,0.2222222222222222,-0.1111111111111111,-0.012250948712325682,-0.010649727052548281,0.0,0.5714285714285714,-0.5714285714285714,완만한 공급 감소
2026-08-30,EX_US,Information Technology,기술,10,6,7.32,1.5099999999999998,0.20628415300546443,-0.007001119908445097,-0.0074325396331702855,0.1,0.4,-0.30000000000000004,-0.007290513341929483,-0.002224663254373903,0.1,0.3,-0.19999999999999998,-0.011523769152686991,-0.03486128713188373,0.0,0.6666666666666666,-0.6666666666666666,공급 감소
2026-08-30,EX_US,Materials,소재,10,9,2.58,0.8900000000000001,0.3449612403100776,0.00033475325598031347,0.00040792444451628716,0.1,0.1,0.0,0.0006004500303462557,-0.004112022712282833,0.0,0.3,-0.3,0.0015100003804471296,-0.0016183861701969224,0.1111111111111111,0.3333333333333333,-0.2222222222222222,중립
2026-08-30,EX_US,Real Estate,부동산,9,7,0.43000000000000005,0.12,0.2790697674418604,0.0,-0.00170752589676478,0.0,0.1111111111111111,-0.1111111111111111,0.0002190692863981436,-0.0010491078939538366,0.0,0.1111111111111111,-0.1111111111111111,0.00022297273528848471,-0.006219225084121519,0.14285714285714285,0.2857142857142857,-0.14285714285714285,중립
2026-08-30,EX_US,Utilities,유틸리티,10,8,0.9600000000000001,0.44000000000000006,0.45833333333333337,0.00046171144504358885,0.004581235573606064,0.1111111111111111,0.1111111111111111,0.0,0.0007918143377354525,0.008236189155380831,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.008495577300866697,0.015190888109143309,0.5,0.125,0.375,완만한 공급 증가
2026-08-30,GLOBAL,Communication,커뮤니케이션,10,9,7.6,5.9,0.7763157894736843,-0.0033273093248381014,0.004988421492706489,0.2,0.3,-0.09999999999999998,-0.007842378904138747,0.004283559787063643,0.2,0.5,-0.3,-0.014596804322252632,0.0021343709542128116,0.2222222222222222,0.5555555555555556,-0.33333333333333337,중립
2026-08-30,GLOBAL,Consumer Discretionary,경기소비재,10,9,8.610000000000001,4.64,0.5389082462253193,0.0008342981174525033,0.009816763640795739,0.2,0.1,0.1,-0.008356034121839606,0.039368813475629594,0.2222222222222222,0.3333333333333333,-0.1111111111111111,-0.0083553865552497,0.0484627113761536,0.3333333333333333,0.4444444444444444,-0.1111111111111111,완만한 공급 증가
2026-08-30,GLOBAL,Consumer Staples,필수소비재,10,9,4.530000000000001,2.2899999999999996,0.5055187637969093,-0.0011835560238229736,-0.001440988971218765,0.0,0.1,-0.1,-0.0032692235933006186,-0.0031769359402781436,0.0,0.1,-0.1,-0.005879118037629527,-0.006240107226996294,0.0,0.3333333333333333,-0.3333333333333333,중립
2026-08-30,GLOBAL,Energy,에너지,10,9,3.8600000000000003,1.9200000000000002,0.49740932642487046,-0.007969993514720719,-0.009410288409577786,0.0,0.3333333333333333,-0.3333333333333333,-0.023365401011053222,-0.019419049918872066,0.1111111111111111,0.7777777777777778,-0.6666666666666667,-0.03587754858789549,-0.03545605364851668,0.0,0.7777777777777778,-0.7777777777777778,공급 감소
2026-08-30,GLOBAL,Financials,금융,10,10,16.480000000000004,4.430000000000001,0.26881067961165045,-0.008103628949640507,-0.009555368000977808,0.0,0.4,-0.4,-0.021522091153280964,-0.022496596986681886,0.0,0.8,-0.8,-0.03310368854060641,-0.030463043662748882,0.0,0.9,-0.9,공급 감소
2026-08-30,GLOBAL,Health Care,헬스케어,10,9,8.410000000000002,3.5900000000000003,0.426872770511296,-0.0004650404207461323,-0.0013886191692975714,0.0,0.1,-0.1,-0.005259989344338245,-0.005484961129951897,0.0,0.3333333333333333,-0.3333333333333333,-0.006677457515349761,-0.012284086718915706,0.0,0.4444444444444444,-0.4444444444444444,완만한 공급 감소
2026-08-30,GLOBAL,Industrials,산업재,10,9,10.600000000000001,2.11,0.19905660377358486,0.0,-0.0011624739406937415,0.1111111111111111,0.1111111111111111,0.0,-0.0025687130747495956,-0.008425290986511121,0.0,0.3333333333333333,-0.3333333333333333,-0.007666751852798415,-0.008687911787854538,0.1111111111111111,0.4444444444444444,-0.3333333333333333,중립
2026-08-30,GLOBAL,Information Technology,기술,10,7,31.179999999999993,16.81,0.5391276459268763,-0.0001974478366401633,-0.002006238277552772,0.1,0.2,-0.1,0.001356873386102686,-0.0019451672209465796,0.1,0.1,0.0,-0.0009410872796413727,-0.01869428778328773,0.0,0.42857142857142855,-0.42857142857142855,완만한 공급 감소
2026-08-30,GLOBAL,Materials,소재,10,10,3.7800000000000007,1.25,0.33068783068783064,-0.0005033333290987985,-0.0028533977096195816,0.1,0.3,-0.19999999999999998,-0.0026636864440705565,-0.010703431164815192,0.0,0.4,-0.4,-0.007108387720932918,-0.011314055096789998,0.1,0.5,-0.4,완만한 공급 감소
2026-08-30,GLOBAL,Real Estate,부동산,10,9,1.5500000000000003,0.7400000000000001,0.4774193548387097,0.019301339213890323,0.020936832346567333,0.6666666666666666,0.0,0.6666666666666666,0.03061985671049583,0.017837939884424593,0.6666666666666666,0.1111111111111111,0.5555555555555556,0.03490302979357951,0.028729263016049483,0.6666666666666666,0.1111111111111111,0.5555555555555556,공급 증가
2026-08-30,GLOBAL,Utilities,유틸리티,10,9,2.24,0.8300000000000001,0.3705357142857143,0.00013593703726244577,-0.0015828695804268641,0.1111111111111111,0.2222222222222222,-0.1111111111111111,0.0018674145977544132,0.0060912516368609995,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.012778857860943127,0.02122506959291853,0.5555555555555556,0.2222222222222222,0.33333333333333337,공급 증가
2026-08-30,US,Communication,커뮤니케이션,12,10,9.45,9.02,0.9544973544973545,-0.0024887336579332286,0.00525614945328942,0.25,0.25,0.0,-0.010793068730125088,0.0032634245912335183,0.3333333333333333,0.5,-0.16666666666666669,-0.01808043409879062,0.001137578102478626,0.3,0.6,-0.3,중립
