as_of,universe,sector,sector_ko,n_sample,n_valid_12m,sector_weight_pct,valid_weight_pct,coverage_of_sector_weight,median_change_3m,weighted_change_3m,pct_increasing_3m,pct_decreasing_3m,net_breadth_3m,median_change_6m,weighted_change_6m,pct_increasing_6m,pct_decreasing_6m,net_breadth_6m,median_change_12m,weighted_change_12m,pct_increasing_12m,pct_decreasing_12m,net_breadth_12m,signal
2026-08-30,EX_US,Communication,커뮤니케이션,10,8,1.57,0.7200000000000001,0.4585987261146497,5.870641451499736e-05,-0.0023963502423267,0.125,0.25,-0.125,-0.0065842662312859,-0.007187980371974,0.1111111111111111,0.3333333333333333,-0.2222222222222222,-0.0141027352109644,-0.0130616519397422,0.125,0.5,-0.375,완만한 공급 감소
2026-08-30,EX_US,Consumer Discretionary,경기소비재,10,9,2.8100000000000005,0.98,0.3487544483985765,-0.0003665373859924,-0.0078583332593131,0.1,0.2,-0.1,-0.0009626594760299,-0.0112398378024786,0.1111111111111111,0.3333333333333333,-0.2222222222222222,-0.0081791006697899,-0.0138995363739194,0.1111111111111111,0.3333333333333333,-0.2222222222222222,완만한 공급 감소
2026-08-30,EX_US,Consumer Staples,필수소비재,10,9,1.7200000000000004,0.6200000000000001,0.3604651162790697,-0.0032186600220795,-0.0027055000128755,0.1,0.2,-0.1,-0.0079540450799521,-0.0075347969979195,0.1,0.4,-0.3,-0.0187293586352417,-0.0166953323007297,0.1111111111111111,0.6666666666666666,-0.5555555555555556,완만한 공급 감소
2026-08-30,EX_US,Energy,에너지,10,6,1.66,0.6900000000000001,0.4156626506024096,7.38962224744455e-11,-0.0057824090998728,0.0,0.2222222222222222,-0.2222222222222222,0.0002889732005737,-0.010853666034056,0.1111111111111111,0.4444444444444444,-0.3333333333333333,-0.0074233241119859,-0.0235191649682933,0.0,0.5,-0.5,공급 감소
2026-08-30,EX_US,Financials,금융,10,9,8.780000000000003,1.88,0.2141230068337129,-0.0033068829157237,-0.0034493054011605,0.0,0.2,-0.2,-0.0074048861410203,-0.0050846753992367,0.1,0.4,-0.3,-0.0123472656445736,-0.0149031963208672,0.1111111111111111,0.7777777777777778,-0.6666666666666667,완만한 공급 감소
2026-08-30,EX_US,Health Care,헬스케어,10,6,2.4700000000000006,0.76,0.3076923076923076,2.434732351530577e-05,-0.0005737259499713,0.1111111111111111,0.1111111111111111,0.0,-0.0035340936982485,-0.0064033048235957,0.25,0.25,0.0,-0.0016320878514257,-0.0331019271811084,0.3333333333333333,0.1666666666666666,0.1666666666666666,완만한 공급 감소
2026-08-30,EX_US,Industrials,산업재,10,7,5.12,1.1,0.21484375,-0.002572740226799,0.0015908771927362,0.1111111111111111,0.1111111111111111,0.0,-0.0037707303526798,0.0006890306256589,0.1111111111111111,0.2222222222222222,-0.1111111111111111,-0.0122509487123256,-0.0106497270525482,0.0,0.5714285714285714,-0.5714285714285714,완만한 공급 감소
2026-08-30,EX_US,Information Technology,기술,10,6,7.32,1.5099999999999998,0.2062841530054644,-0.007001119908445,-0.0074325396331702,0.1,0.4,-0.3,-0.0072905133419294,-0.0022246632543739,0.1,0.3,-0.1999999999999999,-0.0115237691526869,-0.0348612871318837,0.0,0.6666666666666666,-0.6666666666666666,공급 감소
2026-08-30,EX_US,Materials,소재,10,9,2.58,0.8900000000000001,0.3449612403100776,0.0003347532559803,0.0004079244445162,0.1,0.1,0.0,0.0006004500303462,-0.0041120227122828,0.0,0.3,-0.3,0.0015100003804471,-0.0016183861701969,0.1111111111111111,0.3333333333333333,-0.2222222222222222,중립
2026-08-30,EX_US,Real Estate,부동산,9,7,0.43,0.12,0.2790697674418604,0.0,-0.0017075258967647,0.0,0.1111111111111111,-0.1111111111111111,0.0002190692863981,-0.0010491078939538,0.0,0.1111111111111111,-0.1111111111111111,0.0002229727352884,-0.0062192250841215,0.1428571428571428,0.2857142857142857,-0.1428571428571428,중립
2026-08-30,EX_US,Utilities,유틸리티,10,8,0.96,0.44,0.4583333333333333,0.0004617114450435,0.004581235573606,0.1111111111111111,0.1111111111111111,0.0,0.0007918143377354,0.0082361891553808,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.0084955773008666,0.0151908881091433,0.5,0.125,0.375,완만한 공급 증가
2026-08-30,GLOBAL,Communication,커뮤니케이션,10,9,7.6,5.9,0.7763157894736843,-0.0033273093248381,0.0049884214927064,0.2,0.3,-0.0999999999999999,-0.0078423789041387,0.0042835597870636,0.2,0.5,-0.3,-0.0145968043222526,0.0021343709542128,0.2222222222222222,0.5555555555555556,-0.3333333333333333,중립
2026-08-30,GLOBAL,Consumer Discretionary,경기소비재,10,9,8.610000000000001,4.64,0.5389082462253193,0.0008342981174525,0.0098167636407957,0.2,0.1,0.1,-0.0083560341218396,0.0393688134756295,0.2222222222222222,0.3333333333333333,-0.1111111111111111,-0.0083553865552497,0.0484627113761536,0.3333333333333333,0.4444444444444444,-0.1111111111111111,완만한 공급 증가
2026-08-30,GLOBAL,Consumer Staples,필수소비재,10,9,4.530000000000001,2.29,0.5055187637969093,-0.0011835560238229,-0.0014409889712187,0.0,0.1,-0.1,-0.0032692235933006,-0.0031769359402781,0.0,0.1,-0.1,-0.0058791180376295,-0.0062401072269962,0.0,0.3333333333333333,-0.3333333333333333,중립
2026-08-30,GLOBAL,Energy,에너지,10,9,3.86,1.92,0.4974093264248704,-0.0079699935147207,-0.0094102884095777,0.0,0.3333333333333333,-0.3333333333333333,-0.0233654010110532,-0.019419049918872,0.1111111111111111,0.7777777777777778,-0.6666666666666667,-0.0358775485878954,-0.0354560536485166,0.0,0.7777777777777778,-0.7777777777777778,공급 감소
2026-08-30,GLOBAL,Financials,금융,10,10,16.480000000000004,4.430000000000001,0.2688106796116504,-0.0081036289496405,-0.0095553680009778,0.0,0.4,-0.4,-0.0215220911532809,-0.0224965969866818,0.0,0.8,-0.8,-0.0331036885406064,-0.0304630436627488,0.0,0.9,-0.9,공급 감소
2026-08-30,GLOBAL,Health Care,헬스케어,10,9,8.410000000000002,3.5900000000000003,0.426872770511296,-0.0004650404207461,-0.0013886191692975,0.0,0.1,-0.1,-0.0052599893443382,-0.0054849611299518,0.0,0.3333333333333333,-0.3333333333333333,-0.0066774575153497,-0.0122840867189157,0.0,0.4444444444444444,-0.4444444444444444,완만한 공급 감소
2026-08-30,GLOBAL,Industrials,산업재,10,9,10.6,2.11,0.1990566037735848,0.0,-0.0011624739406937,0.1111111111111111,0.1111111111111111,0.0,-0.0025687130747495,-0.0084252909865111,0.0,0.3333333333333333,-0.3333333333333333,-0.0076667518527984,-0.0086879117878545,0.1111111111111111,0.4444444444444444,-0.3333333333333333,중립
2026-08-30,GLOBAL,Information Technology,기술,10,7,31.179999999999996,16.81,0.5391276459268763,-0.0001974478366401,-0.0020062382775527,0.1,0.2,-0.1,0.0013568733861026,-0.0019451672209465,0.1,0.1,0.0,-0.0009410872796413,-0.0186942877832877,0.0,0.4285714285714285,-0.4285714285714285,완만한 공급 감소
2026-08-30,GLOBAL,Materials,소재,10,10,3.7800000000000007,1.25,0.3306878306878306,-0.0005033333290987,-0.0028533977096195,0.1,0.3,-0.1999999999999999,-0.0026636864440705,-0.0107034311648151,0.0,0.4,-0.4,-0.0071083877209329,-0.0113140550967899,0.1,0.5,-0.4,완만한 공급 감소
2026-08-30,GLOBAL,Real Estate,부동산,10,9,1.5500000000000005,0.7400000000000001,0.4774193548387097,0.0193013392138903,0.0209368323465673,0.6666666666666666,0.0,0.6666666666666666,0.0306198567104958,0.0178379398844245,0.6666666666666666,0.1111111111111111,0.5555555555555556,0.0349030297935795,0.0287292630160494,0.6666666666666666,0.1111111111111111,0.5555555555555556,공급 증가
2026-08-30,GLOBAL,Utilities,유틸리티,10,9,2.24,0.8300000000000001,0.3705357142857143,0.0001359370372624,-0.0015828695804268,0.1111111111111111,0.2222222222222222,-0.1111111111111111,0.0018674145977544,0.0060912516368609,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.0127788578609431,0.0212250695929185,0.5555555555555556,0.2222222222222222,0.3333333333333333,공급 증가
