as_of,ticker,sector,benchmark,return_21,benchmark_return_21,excess_21,freq_21,magnitude_21,return_63,benchmark_return_63,excess_63,freq_63,magnitude_63,return_126,benchmark_return_126,excess_126,freq_126,magnitude_126,return_252,benchmark_return_252,excess_252,freq_252,magnitude_252,return_756,benchmark_return_756,excess_756,freq_756,magnitude_756,return_12_1,benchmark_return_12_1,excess_12_1,return_12_7,benchmark_return_12_7,excess_12_7,consistency_12m,monthly_rel_magnitude_12m,prior_drawdown_252_ex63,benchmark_prior_drawdown_252_ex63,benchmark_current_drawdown,rebound_63,benchmark_rebound_63,rank_21,rank_63,rank_126,rank_252,rank_756,rank_12_1,rank_12_7,rank_consistency_12m,rank_prior_drawdown,rank_rebound_63,bounce_flag_research,old_leader_failure_flag,rank_improvement_126_to_63
2026-09-18,XLK,technology,SPY,0.03245483954299733,-0.009583121135651074,0.0420379606786484,0.6666666666666666,0.002044375048534846,-0.008430430435223513,0.02002037175260818,-0.028450802187831692,0.5238095238095238,-0.0003111534028425887,0.37298354237542997,0.16056049003540318,0.21242305234002679,0.6031746031746031,0.0014819411737021424,0.4043770276967622,0.16831472665739833,0.23606230103936388,0.5873015873015873,0.0008360663534245858,1.2623232370220876,0.7706838183541851,0.4916394186679025,0.5383597883597884,0.00040248979137904445,0.36023095045822195,0.179619159961242,0.18061179049697995,0.041190083167708114,0.04709815431136577,-0.005908071143657656,0.6666666666666666,0.014799400149559125,-0.15922692774433078,-0.08884968175523733,-0.020812981873528535,-0.008430430435223513,0.02002037175260818,1,6,1,2,1,2,8,1,1,6,False,False,-5
2026-09-18,XLF,financials,SPY,-0.028183697717227507,-0.009583121135651074,-0.018600576581576433,0.47619047619047616,-0.0008852345720130394,0.046400562296801784,0.02002037175260818,0.026380190544193605,0.5079365079365079,0.00041164313735761416,0.15010856761281155,0.16056049003540318,-0.01045192242259163,0.4603174603174603,-7.172423084631261e-05,0.048943686311814893,0.16831472665739833,-0.11937104034558343,0.4603174603174603,-0.0004185938791171417,0.6884781612545923,0.7706838183541851,-0.08220565709959282,0.5,-5.7518287282701975e-05,0.07936415951026166,0.179619159961242,-0.10025500045098035,-0.020940601807794446,0.04709815431136577,-0.06803875611916022,0.4166666666666667,-0.007009695276222379,-0.14794754933580478,-0.08884968175523733,-0.020812981873528535,0.046400562296801784,0.02002037175260818,4,3,3,7,4,8,9,6,3,3,False,False,0
2026-09-18,XLI,industrials,SPY,-0.06705137209599743,-0.009583121135651074,-0.057468250960346356,0.2857142857142857,-0.002824785905186327,-0.05937962394584606,0.02002037175260818,-0.07939999569845424,0.3968253968253968,-0.0012596037585385308,0.04014260342885878,0.16056049003540318,-0.1204178866065444,0.42857142857142855,-0.0008341189758038884,0.1376054661987154,0.16831472665739833,-0.03070926045868294,0.5,-7.99653337314276e-05,0.694831912103703,0.7706838183541851,-0.0758519062504821,0.49206349206349204,-4.8774312460028856e-05,0.2193656029641231,0.179619159961242,0.039746443002881104,0.16689932315725775,0.04709815431136577,0.11980116884589198,0.3333333333333333,-0.0020774172742411743,-0.12213496124958889,-0.08884968175523733,-0.020812981873528535,-0.05937962394584606,0.02002037175260818,11,10,6,4,3,4,3,9,6,10,False,True,-4
2026-09-18,XLE,energy,SPY,0.01148153045793876,-0.009583121135651074,0.021064651593589834,0.47619047619047616,0.0010534116271658208,0.20464540573557244,0.02002037175260818,0.18462503398296426,0.5555555555555556,0.0027054090699887238,0.09833220221845318,0.16056049003540318,-0.06222828781695,0.5317460317460317,-0.000362409497680011,0.473805294865004,0.16831472665739833,0.3054905682076057,0.5515873015873016,0.000984510928855831,0.534380968902411,0.7706838183541851,-0.23630284945177404,0.4828042328042328,-0.0001405343192583867,0.4570758342940304,0.179619159961242,0.2774566743327884,0.23832461311526965,0.04709815431136577,0.19122645880390388,0.5833333333333334,0.02428589587729853,-0.14050510661727567,-0.08884968175523733,-0.020812981873528535,0.20464540573557244,0.02002037175260818,2,1,4,1,5,1,1,2,4,1,False,False,3
2026-09-18,XLB,materials,SPY,-0.04817210124229698,-0.009583121135651074,-0.03858898010664591,0.38095238095238093,-0.0018648624083737596,-0.03152060141214075,0.02002037175260818,-0.05154097316474893,0.49206349206349204,-0.0007898770436946419,0.055719788385226954,0.16056049003540318,-0.10484070165017623,0.46825396825396826,-0.0007203223262627512,0.12029585651613806,0.16831472665739833,-0.04801887014126027,0.49603174603174605,-0.00013654161530812385,0.29987367857222536,0.7706838183541851,-0.47081013978195974,0.49206349206349204,-0.0003950035011111749,0.1769941372577064,0.179619159961242,-0.0026250227035355955,0.17853199682289111,0.04709815431136577,0.13143384251152535,0.5,-0.00036322468516096956,-0.12383431462713779,-0.08884968175523733,-0.020812981873528535,-0.03152060141214075,0.02002037175260818,7,8,5,5,9,5,2,3,5,8,False,False,-3
2026-09-18,XLY,consumer_discretionary,SPY,-0.06374903273505084,-0.009583121135651074,-0.05416591159939976,0.3333333333333333,-0.0026418602280551314,-0.050433264514995635,0.02002037175260818,-0.07045363626760381,0.3968253968253968,-0.0010824340079092067,0.016178075157489813,0.16056049003540318,-0.14438241487791337,0.4126984126984127,-0.0010051342595648548,-0.07362129710755472,0.16831472665739833,-0.24193602376495305,0.4166666666666667,-0.000878917325956142,0.3147538868693227,0.7706838183541851,-0.4559299314848624,0.458994708994709,-0.00035310966516532484,-0.010544463736409826,0.179619159961242,-0.19016362369765183,-0.027538983477233714,0.04709815431136577,-0.07463713778859948,0.16666666666666666,-0.017462722408780235,-0.14975697237648877,-0.08884968175523733,-0.020812981873528535,-0.050433264514995635,0.02002037175260818,9,9,9,11,8,10,10,11,2,9,False,False,0
2026-09-18,XLP,consumer_staples,SPY,-0.04321698433329324,-0.009583121135651074,-0.033633863197642166,0.2857142857142857,-0.001625949767741304,0.0008945812538929676,0.02002037175260818,-0.01912579049871521,0.4444444444444444,-0.0002736438274207217,0.022859762973700404,0.16056049003540318,-0.13770072706170278,0.42063492063492064,-0.0009926234217928302,0.06052378691808924,0.16831472665739833,-0.10779093973930909,0.42857142857142855,-0.0003761355868661598,0.24903664511965018,0.7706838183541851,-0.5216471732345349,0.4417989417989418,-0.0004749123262774381,0.10842664381860256,0.179619159961242,-0.07119251614263944,0.11360048734545458,0.04709815431136577,0.06650233303408881,0.4166666666666667,-0.004406254074385524,-0.0968781421888324,-0.08884968175523733,-0.020812981873528535,0.0008945812538929676,0.02002037175260818,6,5,8,6,11,6,5,6,9,5,False,False,3
2026-09-18,XLV,health_care,SPY,-0.04149586515287795,-0.009583121135651074,-0.03191274401722688,0.47619047619047616,-0.0015303044940885619,0.13207936409260235,0.02002037175260818,0.11205899233999417,0.5555555555555556,0.0017009268820508568,0.15836527803436162,0.16056049003540318,-0.0021952120010415577,0.5,8.611745230713639e-06,0.24876906545385258,0.16831472665739833,0.08045433879645425,0.4880952380952381,0.0002827760702580551,0.333147898855217,0.7706838183541851,-0.4375359194989681,0.46825396825396826,-0.0003786750704667271,0.30283117208777277,0.179619159961242,0.12321201212653077,0.15936992627066449,0.04709815431136577,0.11227177195929872,0.5,0.0063173461817116194,-0.10469903281199988,-0.08884968175523733,-0.020812981873528535,0.13207936409260235,0.02002037175260818,5,2,2,3,7,3,4,3,8,2,False,False,0
2026-09-18,XLU,utilities,SPY,-0.06633352915214685,-0.009583121135651074,-0.05675040801649578,0.3333333333333333,-0.002777342520740985,-0.07590609785510338,0.02002037175260818,-0.09592646960771156,0.42857142857142855,-0.0015509236361904517,-0.10503600707889338,0.16056049003540318,-0.26559649711429656,0.4126984126984127,-0.0020450715295370226,0.0016868765208986058,0.16831472665739833,-0.16662785013649972,0.47619047619047616,-0.0005978767506328979,0.3994968283376945,0.7706838183541851,-0.3711869900164906,0.48148148148148145,-0.00030405656762473696,0.0728530024338101,0.179619159961242,-0.1067661575274319,0.09688253244197109,0.04709815431136577,0.04978437813060532,0.3333333333333333,-0.01339249714120704,-0.09184756168424946,-0.08884968175523733,-0.020812981873528535,-0.07590609785510338,0.02002037175260818,10,11,11,9,6,9,6,9,10,11,False,False,0
2026-09-18,XLRE,real_estate,SPY,-0.054678879915386336,-0.009583121135651074,-0.04509575877973526,0.3333333333333333,-0.0022132846751300767,-0.021826659082719524,0.02002037175260818,-0.0418470308353277,0.4444444444444444,-0.0006530919495193554,0.030320807371966074,0.16056049003540318,-0.1302396826634371,0.42063492063492064,-0.000935910023606296,0.04678415503206379,0.16831472665739833,-0.12153057162533454,0.4642857142857143,-0.00042993650766471784,0.2990041846893223,0.7706838183541851,-0.47167963366486276,0.47354497354497355,-0.00039969521627849326,0.10733181856591578,0.179619159961242,-0.07228734139532622,0.050636577877510414,0.04709815431136577,0.003538423566144644,0.4166666666666667,-0.008201727465394992,-0.08331996157397181,-0.08884968175523733,-0.020812981873528535,-0.021826659082719524,0.02002037175260818,8,7,7,8,10,7,7,6,11,7,False,False,0
2026-09-18,XLC,communication_services,SPY,-0.004581406195010684,-0.009583121135651074,0.005001714940640389,0.5238095238095238,0.00027580303058252103,0.01505960818265617,0.02002037175260818,-0.004960763569952009,0.5238095238095238,-2.5792330694054822e-05,-0.014912482449589204,0.16056049003540318,-0.17547297248499238,0.4365079365079365,-0.001275699028847729,-0.055764001201156654,0.16831472665739833,-0.22407872785855498,0.44841269841269843,-0.0008313595047518833,0.6985544832257653,0.7706838183541851,-0.07212933512841979,0.4933862433862434,-4.4323821460805014e-05,-0.05141816249433351,0.179619159961242,-0.2310373224555755,-0.029185453158695474,0.04709815431136577,-0.07628360747006124,0.5,-0.016038747724398755,-0.10574967292080817,-0.08884968175523733,-0.020812981873528535,0.01505960818265617,0.02002037175260818,3,4,10,10,2,11,11,3,7,4,False,False,6
