date,ticker,gics_sector,sector_ko,window,breadth_vs_spy_pct,breadth_vs_sector_pct,median_excess_vs_spy,median_excess_vs_sector,dispersion_std,n_valid,n_sector_members,coverage,survivorship_note
2026-01-30,XLK,Information Technology,기술,21,0.4657534246575342,0.4794520547945205,-0.026967104749935245,-0.009225567596841011,0.22980478725454478,73,73,1.0,Uses current S&P 500 constituents
2026-01-30,XLK,Information Technology,기술,63,0.4246575342465753,0.4794520547945205,-0.07583821327643836,-0.013810312375005518,0.345379017182696,73,73,1.0,Uses current S&P 500 constituents
2026-01-30,XLK,Information Technology,기술,126,0.4166666666666667,0.4166666666666667,-0.053030671930865414,-0.05029936391376466,1.5888100516850723,72,73,0.9863013698630136,Uses current S&P 500 constituents
2026-01-30,XLK,Information Technology,기술,252,0.4225352112676056,0.39436619718309857,-0.08172939452257744,-0.16788415354885866,1.0140356184812758,71,73,0.9726027397260274,Uses current S&P 500 constituents
2026-01-30,XLF,Financials,금융,21,0.3684210526315789,0.6447368421052632,-0.020187906929510002,0.0185649374157153,0.06640334032048051,76,76,1.0,Uses current S&P 500 constituents
2026-01-30,XLF,Financials,금융,63,0.6973684210526315,0.6447368421052632,0.06177739876254873,0.0419126166837025,0.12535823097191415,76,76,1.0,Uses current S&P 500 constituents
2026-01-30,XLF,Financials,금융,126,0.3684210526315789,0.5263157894736842,-0.051108408224150526,0.022552206330663682,0.17501863440481477,76,76,1.0,Uses current S&P 500 constituents
2026-01-30,XLF,Financials,금융,252,0.35526315789473684,0.5526315789473685,-0.08345962108060201,0.023231199183232132,0.2594615104838436,76,76,1.0,Uses current S&P 500 constituents
2026-01-30,XLI,Industrials,산업재,21,0.691358024691358,0.49382716049382713,0.05041473627435611,-3.1067670757112253e-05,0.08327350896522345,81,83,0.9759036144578314,Uses current S&P 500 constituents
2026-01-30,XLI,Industrials,산업재,63,0.7037037037037037,0.5185185185185185,0.07081633145817601,0.009995571354791677,0.1493639701967111,81,83,0.9759036144578314,Uses current S&P 500 constituents
2026-01-30,XLI,Industrials,산업재,126,0.5185185185185185,0.5308641975308642,0.003365812381033395,0.007806329230674036,0.21720132306180398,81,83,0.9759036144578314,Uses current S&P 500 constituents
2026-01-30,XLI,Industrials,산업재,252,0.43209876543209874,0.35802469135802467,-0.023817195936004953,-0.07766717343985907,0.35567659013066893,81,83,0.9759036144578314,Uses current S&P 500 constituents
