area_code,area,pmi,pmi_1m_change,pmi_state,pmi_period,pmi_source,cli,cli_1m_change,cli_state,cli_period,curve_spread,curve_1m_change,curve_state,curve_period,long_rate,short_rate,pmi_breadth_above_50
GLOBAL,글로벌,51.5,-0.10000000000000142,확장 둔화,2026-09,Major-economy manufacturing PMI median (not proprietary Global PMI),100.2968,-0.003900000000001569,상단·둔화,2026-08,1.0586499999999999,0.27865000000000006,정상·스티프닝,2026-08,4.483,3.35065,0.8571428571428571
USA,미국,57.0,3.1000000000000014,확장 가속,2026-09,Trading Economics public headline table; underlying survey provider varies,,,데이터 없음,,0.36,-0.04999999999999999,정상·플래트닝,2026-09,,,
EUR,유럽,52.7,0.0,확장,2026-09,Trading Economics public headline table; underlying survey provider varies,100.8142,0.11650000000000205,상단·상승,2026-08,0.6668570000000003,0.021813000000000304,정상·스티프닝,2026-08,3.18,2.513143,
GBR,영국,52.0,0.29999999999999716,확장 가속,2026-09,Trading Economics public headline table; underlying survey provider varies,101.1102,0.22210000000001173,상단·상승,2026-08,1.2572999999999999,0.056299999999999795,정상·스티프닝,2026-08,4.9886,3.7313,
JPN,일본,54.1,-0.7999999999999972,확장 둔화,2026-09,Trading Economics public headline table; underlying survey provider varies,100.3034,0.01089999999999236,상단·상승,2026-08,1.963,0.6314500000000001,정상·스티프닝,2026-08,2.94,0.977,
KOR,한국,52.3,-0.8000000000000043,확장 둔화,2026-08,Trading Economics public headline table; underlying survey provider varies,102.8694,0.06059999999999377,상단·상승,2026-08,1.3159999999999994,-0.06000000000000005,정상·플래트닝,2026-08,4.286,2.97,
CHN,중국,51.5,0.6000000000000014,확장 가속,2026-08,Trading Economics public headline table; underlying survey provider varies,98.10458,-0.1448299999999989,하단·악화,2026-08,0.16999999999999993,-0.050000000000000044,정상·플래트닝,2026-07,1.71,1.54,
BRA,브라질,46.3,-1.2000000000000028,수축 심화,2026-08,Trading Economics public headline table; underlying survey provider varies,102.6276,-0.314399999999992,상단·둔화,2026-08,-4.92,0.1899999999999995,역전·정상화,2026-08,9.14,14.06,
