as_of,ticker,sector,benchmark,return_21,excess_21,freq_21,magnitude_21,return_63,excess_63,freq_63,magnitude_63,return_126,excess_126,freq_126,magnitude_126,rank_21,rank_63,rank_126,rank_change_21_vs_63,trend_label
2026-09-11,XLE,energy,SPY,0.06734394056297743,0.07795898064206419,0.5714285714285714,0.003644482146235219,0.1486304869514259,0.11000146004455491,0.5873015873015873,0.0016613224037951202,0.14829510784696498,-0.005282124480138428,0.5555555555555556,3.369017331547905e-05,1,1,3,0,LEADER
2026-09-11,XLC,communication_services,SPY,0.0211299709983368,0.03174501107742356,0.6666666666666666,0.0015413512778917893,0.006893732908681782,-0.031735293998189196,0.5238095238095238,-0.0004447396243759002,-0.017496354731931785,-0.1710735870590352,0.42857142857142855,-0.001251277944997761,2,5,10,3,EMERGING
2026-09-11,XLK,technology,SPY,-0.0063009765835034814,0.004314063495583276,0.5714285714285714,0.0002724812006895513,0.025565036162864763,-0.013063990744006215,0.5238095238095238,-4.853747136305458e-05,0.36482439863911953,0.21124716631201612,0.6031746031746031,0.001480063741265755,3,4,1,1,NEUTRAL
2026-09-11,XLF,financials,SPY,-0.011567648310191747,-0.0009526082311049899,0.42857142857142855,-2.898640420942059e-05,0.09180054570588703,0.05317151879901605,0.5079365079365079,0.0007971681485521721,0.18258984975778092,0.029012617430677512,0.46825396825396826,0.0001964041997742431,4,2,2,-2,NEUTRAL
2026-09-11,XLV,health_care,SPY,-0.018285453493306014,-0.007670413414219257,0.47619047619047616,-0.0003101556703174204,0.07787190520564691,0.03924287829877593,0.5238095238095238,0.0006321796306899834,0.11062905768581777,-0.04294817464128564,0.48412698412698413,-0.0002773115019358849,5,3,4,-2,NEUTRAL
2026-09-11,XLP,consumer_staples,SPY,-0.01998124754407571,-0.009366207464988952,0.42857142857142855,-0.0004247987588651097,-0.015380070478888452,-0.05400909738575943,0.4603174603174603,-0.0008222500741480595,0.002149772693907037,-0.15142745963319637,0.42063492063492064,-0.001106079505129393,6,8,9,2,NEUTRAL
2026-09-11,XLRE,real_estate,SPY,-0.024050426368928846,-0.013435386289842088,0.47619047619047616,-0.0006388913596749921,-0.02492243569189212,-0.0635514625987631,0.4603174603174603,-0.0009889559182873213,0.04639015230736354,-0.10718708001973987,0.4365079365079365,-0.000765130672001244,7,9,6,2,NEUTRAL
2026-09-11,XLB,materials,SPY,-0.0310003996072995,-0.020385359528212743,0.42857142857142855,-0.0009634681369301514,-0.001551992457500373,-0.04018101936437135,0.5079365079365079,-0.0005951857083303132,0.03397615069029225,-0.11960108163681116,0.4603174603174603,-0.0008366372079597269,8,6,7,-2,NEUTRAL
2026-09-11,XLU,utilities,SPY,-0.033074834805945086,-0.02245979472685833,0.42857142857142855,-0.0010719944535690494,-0.03153960960156177,-0.07016863650843275,0.4444444444444444,-0.001098627239432481,-0.07615191857774262,-0.22972915090484602,0.42063492063492064,-0.00174717461607076,9,11,11,2,NEUTRAL
2026-09-11,XLY,consumer_discretionary,SPY,-0.04181864730426543,-0.031203607225178676,0.38095238095238093,-0.001486396838956466,-0.02678343421725593,-0.06541246112412691,0.4126984126984127,-0.0009772503780111216,0.016969696886440122,-0.13660753544066329,0.42063492063492064,-0.0009501663660767872,10,10,8,0,NEUTRAL
2026-09-11,XLI,industrials,SPY,-0.07268135039130408,-0.06206631031221732,0.2857142857142857,-0.003060679650020664,-0.013450815679163175,-0.05207984258603415,0.4126984126984127,-0.0007928768991799788,0.0486540368312387,-0.10492319549586471,0.4365079365079365,-0.0007224076747903972,11,7,5,-4,WEAKENING
