date,pair_id,rs_return_21,freq_21,magnitude_21,upday_freq_21,upday_magnitude_21,downday_freq_21,downday_magnitude_21,rs_return_63,freq_63,magnitude_63,upday_freq_63,upday_magnitude_63,downday_freq_63,downday_magnitude_63,rs_return_126,freq_126,magnitude_126,upday_freq_126,upday_magnitude_126,downday_freq_126,downday_magnitude_126
2026-02-09,growth_value,-0.06276031166365403,0.38095238095238093,-0.0030474464774781695,0.47619047619047616,0.0003524890254795743,0.23809523809523808,-0.005670049739029234,-0.12058747161070738,0.4126984126984127,-0.002016151342957512,0.6507936507936508,0.001965457776343911,0.31746031746031744,-0.0037944487060517142,-0.10611572789543433,0.49206349206349204,-0.0008674761149220192,0.6904761904761905,0.00289726749145835,0.30952380952380953,-0.004421573596075123
2026-02-09,large_small,-0.026709116343719086,0.3333333333333333,-0.0013316186795621552,0.3333333333333333,-0.002223274198095585,0.5714285714285714,-8.137032155909276e-05,-0.06706852197434732,0.4603174603174603,-0.0011450725616128164,0.4126984126984127,-0.001787280009422406,0.6190476190476191,0.0009812146121405624,-0.10259773633040381,0.48412698412698413,-0.0009077500858032859,0.4365079365079365,-0.001411529956464847,0.6031746031746031,0.001220186523009905
2026-02-09,cap_equal,-0.023000869611687902,0.47619047619047616,-0.0011029537981120728,0.5238095238095238,0.00026295588555084554,0.3333333333333333,-0.0023943401752450117,-0.04949245958738835,0.4444444444444444,-0.0008065613230750651,0.6190476190476191,0.0012560535988752407,0.38095238095238093,-0.0014812101993997065,-0.017317420632026903,0.5079365079365079,-0.0001394751984946308,0.6349206349206349,0.001370269803472307,0.35714285714285715,-0.001696896910227187
2026-02-09,small_value_large_growth,0.08602295064087251,0.5714285714285714,0.003932644038934093,0.5714285714285714,0.0010211228684952744,0.6190476190476191,0.005314332731500441,0.1846984122659887,0.5555555555555556,0.002700944554938496,0.47619047619047616,-0.00027426728154401913,0.5396825396825397,0.002319478484102807,0.21708548103596792,0.5317460317460317,0.001580995034245701,0.4444444444444444,-0.000857227986573962,0.5476190476190477,0.0021761894237177404
2026-02-09,us_developed_ex_us,-0.05792088278466467,0.3333333333333333,-0.002854793354524379,0.3333333333333333,-0.002157276554342629,0.3333333333333333,-0.0023967396476424685,-0.09340566451458132,0.36507936507936506,-0.001560065580998537,0.4603174603174603,-0.00020260988612000539,0.4444444444444444,-0.0014594663523494768,-0.08580528688512568,0.47619047619047616,-0.0007123155680741948,0.5634920634920635,0.0011655386771352257,0.35714285714285715,-0.003179493140188721
2026-02-09,developed_em,0.02410539033396364,0.6666666666666666,0.001138253436686699,0.5714285714285714,0.0002970612953791503,0.5714285714285714,0.001274818273639532,0.06678641867277646,0.5555555555555556,0.0010294255079408236,0.5079365079365079,0.0004086270550902516,0.4126984126984127,-0.0002696797236810082,0.03114135017477082,0.47619047619047616,0.00023601278115712988,0.5317460317460317,0.0004847928015085467,0.42063492063492064,-0.00016596912596975882
2026-02-09,cyclical_defensive,0.0036101666199404026,0.6190476190476191,0.0001911314880071735,0.7142857142857143,0.003608775550482615,0.38095238095238093,-0.001788101324653666,0.04565820423110134,0.5873015873015873,0.0007247118883308567,0.7142857142857143,0.0024452527404952612,0.31746031746031744,-0.0028001204232608362,0.040647825470501386,0.5476190476190477,0.0003287045324251153,0.6984126984126984,0.0031539624411862682,0.2619047619047619,-0.003961579313535525
2026-02-10,growth_value,-0.06402225713389642,0.38095238095238093,-0.0031112274920596624,0.47619047619047616,0.0003524890254795743,0.19047619047619047,-0.005869096819792598,-0.11518735544519865,0.4126984126984127,-0.0019185979033519505,0.6507936507936508,0.001965457776343911,0.30158730158730157,-0.003828520684748253,-0.10852100008480581,0.48412698412698413,-0.0008888132332426208,0.6904761904761905,0.00289726749145835,0.30158730158730157,-0.00447386130832274
2026-02-10,large_small,-0.02500288190386024,0.38095238095238093,-0.001247852665121967,0.3333333333333333,-0.002223274198095585,0.6190476190476191,9.404419414502758e-05,-0.06317230635876658,0.47619047619047616,-0.001078740762355331,0.4126984126984127,-0.001787280009422406,0.6190476190476191,0.0008781125846253382,-0.1003544265621551,0.49206349206349204,-0.0008879644235460002,0.4365079365079365,-0.001411529956464847,0.6031746031746031,0.0011729586833876013
2026-02-10,cap_equal,-0.029813783988252518,0.42857142857142855,-0.0014365521664598919,0.5238095238095238,0.00026295588555084554,0.2857142857142857,-0.0027380473736979033,-0.04837397720096137,0.4444444444444444,-0.0007873916227694406,0.6190476190476191,0.0012560535988752407,0.38095238095238093,-0.0015739460729632675,-0.02412085286365684,0.5,-0.00019462167217467724,0.6349206349206349,0.001370269803472307,0.3492063492063492,-0.001772274727892728
