as_of,ticker,gics_sector,sector_ko,window,breadth_vs_spy_pct,breadth_vs_sector_pct,median_excess_vs_spy,median_excess_vs_sector,dispersion_std,n_valid,n_sector_members,coverage,survivorship_note,breadth_vs_spy_pct_1m_ago,breadth_vs_sector_pct_1m_ago,dispersion_std_1m_ago,breadth_vs_spy_change_1m,breadth_vs_sector_change_1m,dispersion_change_1m
2026-09-25,XLK,Information Technology,기술,21,0.6081081081081081,0.28378378378378377,0.02255531685381318,-0.042770170047847444,0.12333143164357419,74,74,1.0,Uses current S&P 500 constituents,0.5945945945945946,0.4594594594594595,0.1370134036681014,0.013513513513513487,-0.1756756756756757,-0.013681972024527228
2026-09-25,XLK,Information Technology,기술,63,0.5135135135135135,0.47297297297297297,0.003997970321169109,-0.020237508214119404,0.24588863695295626,74,74,1.0,Uses current S&P 500 constituents,0.4864864864864865,0.527027027027027,0.2162386826276919,0.027027027027026973,-0.054054054054054,0.02964995432526435
2026-09-25,XLK,Information Technology,기술,126,0.6081081081081081,0.32432432432432434,0.09079455795749702,-0.1922037455507778,0.6039091184462109,74,74,1.0,Uses current S&P 500 constituents,0.581081081081081,0.36486486486486486,0.5408106872178762,0.027027027027027084,-0.040540540540540515,0.0630984312283347
2026-09-25,XLK,Information Technology,기술,252,0.5616438356164384,0.4383561643835616,0.09548920408941464,-0.14191535676370592,2.25683986610073,73,74,0.9864864864864865,Uses current S&P 500 constituents,0.5068493150684932,0.4520547945205479,3.8413301121206724,0.0547945205479452,-0.0136986301369863,-1.5844902460199424
2026-09-25,XLF,Financials,금융,21,0.05263157894736842,0.35526315789473684,-0.0806777426231341,-0.015927352690172092,0.05140903606957212,76,76,1.0,Uses current S&P 500 constituents,0.3815789473684211,0.47368421052631576,0.0550425685394602,-0.32894736842105265,-0.11842105263157893,-0.0036335324698880817
2026-09-25,XLF,Financials,금융,63,0.34210526315789475,0.4342105263157895,-0.055980095803659036,-0.02257520314101502,0.10311690649228243,76,76,1.0,Uses current S&P 500 constituents,0.9342105263157895,0.4473684210526316,0.1001153131555505,-0.5921052631578947,-0.01315789473684209,0.003001593336731931
2026-09-25,XLF,Financials,금융,126,0.27631578947368424,0.42105263157894735,-0.09330950524428638,-0.017457817153221922,0.15413949722127612,76,76,1.0,Uses current S&P 500 constituents,0.5526315789473685,0.5,0.13646499639896295,-0.27631578947368424,-0.07894736842105265,0.01767450082231317
2026-09-25,XLF,Financials,금융,252,0.25,0.5,-0.1383655442562085,0.0019155918075152156,0.22602213258925455,76,76,1.0,Uses current S&P 500 constituents,0.34210526315789475,0.4473684210526316,0.24337255627448828,-0.09210526315789475,0.05263157894736842,-0.017350423685233735
2026-09-25,XLI,Industrials,산업재,21,0.10843373493975904,0.4457831325301205,-0.06934046586261833,-0.007549161344939992,0.07665287521195913,83,83,1.0,Uses current S&P 500 constituents,0.27710843373493976,0.4819277108433735,0.08449627642042914,-0.1686746987951807,-0.03614457831325302,-0.007843401208470019
2026-09-25,XLI,Industrials,산업재,63,0.1927710843373494,0.43373493975903615,-0.12563290982268616,-0.00798841382514559,0.12280352065704732,83,83,1.0,Uses current S&P 500 constituents,0.5609756097560976,0.5,0.146331787922492,-0.3682045254187482,-0.06626506024096385,-0.02352826726544467
2026-09-25,XLI,Industrials,산업재,126,0.16049382716049382,0.4691358024691358,-0.1632924856493143,-0.023757090724277452,0.20692905484605464,81,83,0.9759036144578314,Uses current S&P 500 constituents,0.25925925925925924,0.5185185185185185,0.15358805331115044,-0.09876543209876543,-0.04938271604938271,0.0533410015349042
2026-09-25,XLI,Industrials,산업재,252,0.4074074074074074,0.4567901234567901,-0.062311632799181504,-0.015161371225185238,0.45940274272258863,81,83,0.9759036144578314,Uses current S&P 500 constituents,0.49382716049382713,0.49382716049382713,0.48866453492372436,-0.08641975308641975,-0.037037037037037035,-0.029261792201135728
2026-09-25,XLE,Energy,에너지,21,0.3333333333333333,0.3333333333333333,-0.04282299324095251,-0.033103457707372885,0.057007116588986606,21,21,1.0,Uses current S&P 500 constituents,0.9047619047619048,0.47619047619047616,0.05985356601954356,-0.5714285714285714,-0.14285714285714285,-0.002846449430556952
2026-09-25,XLE,Energy,에너지,63,0.5238095238095238,0.3333333333333333,0.00556644004467155,-0.09285075171629331,0.19798188142386114,21,21,1.0,Uses current S&P 500 constituents,0.6666666666666666,0.3333333333333333,0.16038158507821074,-0.1428571428571428,0.0,0.0376002963456504
2026-09-25,XLE,Energy,에너지,126,0.14285714285714285,0.19047619047619047,-0.23568638908901762,-0.055667400972749914,0.23871366140530223,21,21,1.0,Uses current S&P 500 constituents,0.5238095238095238,0.47619047619047616,0.28492886751934954,-0.380952380952381,-0.2857142857142857,-0.04621520611404731
2026-09-25,XLE,Energy,에너지,252,0.7142857142857143,0.3333333333333333,0.1556509141084823,-0.07763224619775011,0.3633649249012665,21,21,1.0,Uses current S&P 500 constituents,0.9047619047619048,0.3333333333333333,0.35409589120946794,-0.19047619047619047,0.0,0.009269033691798545
2026-09-25,XLB,Materials,소재,21,0.0,0.52,-0.07482072040939758,0.0023958736855781426,0.04136304415584097,25,25,1.0,Uses current S&P 500 constituents,0.36,0.44,0.12127246533667871,-0.36,0.08000000000000002,-0.07990942118083774
2026-09-25,XLB,Materials,소재,63,0.16,0.56,-0.0727835465693033,0.018393963016789416,0.1185073192345059,25,25,1.0,Uses current S&P 500 constituents,0.6,0.52,0.13179846913781296,-0.43999999999999995,0.040000000000000036,-0.013291149903307056
2026-09-25,XLB,Materials,소재,126,0.2,0.48,-0.20739256018893026,-0.028553123334756347,0.20050206412596344,25,25,1.0,Uses current S&P 500 constituents,0.2,0.48,0.16237841321378352,0.0,0.0,0.038123650912179924
2026-09-25,XLB,Materials,소재,252,0.4,0.4,-0.04992818378936792,-0.010153080602321118,0.32228361814324075,25,25,1.0,Uses current S&P 500 constituents,0.36,0.36,0.3245004538352404,0.040000000000000036,0.040000000000000036,-0.0022168356919996524
2026-09-25,XLY,Consumer Discretionary,경기소비재,21,0.0851063829787234,0.3617021276595745,-0.0945389007668882,-0.030904608966393354,0.07155352924642339,47,47,1.0,Uses current S&P 500 constituents,0.2978723404255319,0.2978723404255319,0.0982622111819295,-0.21276595744680848,0.06382978723404259,-0.026708681935506115
